,ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
63,64,Women,USA,Sidney,Morin,140,5'5,1995-06-06,Minnetonka,Minn.,Defence,25,5.416666666666667,65,23
64,65,Women,USA,Kelly,Pannek,165,5'8,1995-12-29,Plymouth,Minn.,Forward,24,5.666666666666667,68,25
65,66,Women,USA,Amanda,Pelkey,135,5'3,1993-05-29,Montpelier,Vt.,Forward,27,5.25,63,24
66,67,Women,USA,Emily,Pfalzer,125,5'3,1993-06-14,Buffalo,N.Y.,Defence,27,5.25,63,22
67,68,Women,USA,Alex,Rigsby,150,5'7,1992-01-03,Delafield,Wis.,Goalie,28,5.583333333333333,67,23
68,69,Women,USA,Maddie,Rooney,145,5'5,1997-07-07,Andover,Minn.,Goalie,23,5.416666666666667,65,24
69,70,Women,USA,Haley,Skarupa,140,5'6,1994-01-03,Rockville,Md.,Forward,26,5.5,66,23
70,71,Women,USA,Lee,Stecklein,175,6'0,1994-04-23,Roseville,Minn.,Defence,26,6.0,72,24
71,72,Men,USA,Mark,Arcobello,170,5'8,1988-08-12,Milford,Conn.,Forward,32,5.666666666666667,68,26
72,73,Men,USA,Chad,Billins,185,5'10,1989-05-26,Marysville,Mich.,Defence,31,5.833333333333333,70,27
73,74,Men,USA,Jonathan,Blum,195,6'1,1989-01-30,Ladera Ranch,Calif.,Defence,31,6.083333333333333,73,26
74,75,Men,USA,Will,Borgen,195,6'2,1996-12-19,Moorhead,Minn.,Defence,23,6.166666666666667,74,25
75,76,Men,USA,Chris,Bourque,180,5'8,1986-01-29,North Reading,Mass.,Forward,34,5.666666666666667,68,27
76,77,Men,USA,Bobby,Butler,189,6'0,1987-04-26,Marlborough,Mass.,Forward,33,6.0,72,26
77,78,Men,USA,Ryan,Donato,196,6'1,1996-04-09,Scituate,Mass.,Forward,24,6.083333333333333,73,26
78,79,Men,USA,Matt,Gilroy,200,6'1,1984-07-20,Bellmore,N.Y.,Defence,36,6.083333333333333,73,26
79,80,Men,USA,Brian,Gionta,175,5'7,1979-01-18,Rochester,N.Y.,Forward,41,5.583333333333333,67,27
80,81,Men,USA,Jordan,Greenway,235,6'5,1997-02-16,Canton,N.Y.,Forward,23,6.416666666666667,77,28
81,82,Men,USA,Ryan,Gunderson,170,5'9,1985-08-16,Bensalem,Pa.,Defence,35,5.75,69,25
82,83,Men,USA,Chad,Kolarik,185,5'11,1986-01-26,Abington,Pa.,Forward,34,5.916666666666667,71,26
83,84,Men,USA,David,Leggio,185,6'0,1984-07-31,Buffalo,N.Y.,Goalie,36,6.0,72,25
84,85,Men,USA,Broc,Little,170,5'9,1988-03-24,Rindge,N.H.,Forward,32,5.75,69,25
85,86,Men,USA,Brandon,Maxwell,196,6'1,1991-03-22,Winter Park,Fla.,Goalie,29,6.083333333333333,73,26
86,87,Men,USA,John,McCarthy,195,6'1,1986-08-09,Boston,Mass.,Forward,34,6.083333333333333,73,26
87,88,Men,USA,Brian,O'Neill,174,5'9,1988-06-01,Yardley,Pa.,Forward,32,5.75,69,26
88,89,Men,USA,Garrett,Roe,178,5'9,1988-02-22,Vienna,Va.,Forward,32,5.75,69,26
89,90,Men,USA,Bobby,Sanguinetti,190,6'2,1988-02-29,Wilmington,N.C.,Defence,32,6.166666666666667,74,24
90,91,Men,USA,Jim,Slater,200,6'0,1982-12-09,Lapeer,Mich.,Forward,37,6.0,72,27
91,92,Men,USA,Ryan,Stoa,210,6'3,1987-04-13,Bloomington,Minn.,Forward,33,6.25,75,26
92,93,Men,USA,Troy,Terry,179,6'0,1997-09-10,Highlands Ranch,Colo.,Forward,23,6.0,72,24
93,94,Men,USA,Noah,Welch,215,6'4,1982-08-26,Brighton,Mass.,Defence,38,6.333333333333333,76,26
94,95,Men,USA,James,Wisniewski,205,6'0,1984-02-21,Canton,Mich.,Defence,36,6.0,72,28
95,96,Men,USA,Ryan,Zapolski,203,6'0,1986-11-11,Erie,Pa.,Goalie,33,6.0,72,28
